datetime,000001.SH,cash,commission,direction,signal,total,returns,equity_curve,drawdown,open,high,low,close,volume,,,
2010-08-06,0,5000,0,0,0,5000,,,,2618.713,2659.412,2598.913,2658.392,123369598.864,,,
2010-08-09,0,5000,0,0,0,5000,0,1,0,2656.364,2676.09,2650.397,2672.533,126564688.624,,,
2010-08-10,0,5000,0,0,0,5000,0,1,0,2672.793,2675.313,2594.336,2595.274,129567701.182,,,
2010-08-11,0,5000,0,0,0,5000,0,1,0,2587.615,2618.451,2586.018,2607.497,88759712.1223,,,
2010-08-12,0,5000,0,0,0,5000,0,1,0,2584.919,2608.761,2570.963,2575.475,96005861.114,2621.8342,,
2010-08-13,0,5000,0,0,0,5000,0,1,0,2576.687,2607.033,2564.838,2606.7,91346885.772,2611.4958,,
2010-08-16,0,5000,0,0,0,5000,0,1,0,2603.792,2665.314,2596.771,2661.708,130747036.4988,2609.3308,,
2010-08-17,0,5000,0,0,0,5000,0,1,0,2663.184,2677.57,2654.011,2671.893,128597720.021,2624.6546,2631.184,-6.5294
2010-08-18,0,5000,0,0,1,5000,0,1,0,2674.501,2687.76,2654.408,2666.301,128831042.371,2636.4154,2635.0858888889,1.3295111111
2010-08-19,2883.081,2328.699,10,1,0,5211.78,0.042356,1.042356,0,2669.431,2701.93,2659.297,2687.979,133233657.249,2658.9162,2640.3752,18.541
2010-08-20,2426.361,2328.699,10,1,0,4755.06,-0.0876322485,0.951012,0.091344,2677.019,2683.288,2636.908,2642.307,119817337.632,2666.0376,2638.7667,27.2709
2010-08-23,2396.951,2328.699,10,1,0,4725.65,-0.0061849903,0.94513,0.097226,2637.82,2656.116,2629.707,2639.366,91492887.899,2661.5692,2635.45,26.1192
2010-08-24,2506.361,2328.699,10,1,0,4835.06,0.0231523706,0.967012,0.075344,2636.532,2667.171,2614.563,2650.307,106318342.843,2657.252,2640.9533,16.2987
2010-08-25,1969.091,2328.699,10,1,0,4297.79,-0.1111196138,0.859558,0.182798,2634.95,2645.503,2595.728,2596.58,108265742.167,2643.3078,2639.8616,3.4462
2010-08-26,2038.101,2328.699,10,1,-1,4366.8,0.0160570898,0.87336,0.168996,2604.882,2616.962,2590.614,2603.481,81805454.776,2626.4082,2642.6622,-16.254
2010-08-27,2530.871,1758.319,20,-1,0,4289.19,-0.0177727398,0.857838,0.184518,2602.501,2613.487,2588.643,2610.742,75183467.794,2620.0952,2643.0664,-22.9712
2010-08-30,2111.651,1758.319,20,-1,0,3869.97,-0.0977387339,0.773994,0.268362,2622.266,2656.355,2620.19,2652.664,120862400.138,2622.7548,2642.162,-19.4072
2010-08-31,2250.311,1758.319,20,-1,0,4008.63,0.0358297351,0.801726,0.24063,2644.787,2647.253,2626.793,2638.798,124753743.788,2620.453,2638.8525,-18.3995
2010-09-01,2409.471,1758.319,20,-1,0,4167.79,0.0397043379,0.833558,0.208798,2641.053,2662.876,2604.487,2622.882,138493970.6,2625.7134,2634.5106,-8.7972
2010-09-02,2080.531,1758.319,20,-1,0,3838.85,-0.078924322,0.76777,0.274586,2646.893,2659.978,2636.418,2655.776,142065830.978,2636.1724,2631.2903,4.8821
2010-09-03,2084.351,1758.319,20,-1,0,3842.67,0.0009950897,0.768534,0.273822,2658.129,2660.539,2631.851,2655.394,145978031.9706,2645.1028,2632.599,12.5038
